timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/08/03 02:09:07.034, 2542 MHz, 13801 MHz, 74.79 W, 32, 0 %, 2663 MiB
2026/08/03 02:09:12.035, 2542 MHz, 13801 MHz, 70.64 W, 32, 0 %, 2663 MiB
2026/08/03 02:09:17.035, 2542 MHz, 13801 MHz, 70.24 W, 32, 0 %, 2663 MiB
2026/08/03 02:09:22.036, 2542 MHz, 13801 MHz, 71.15 W, 32, 0 %, 1730 MiB
2026/08/03 02:09:27.036, 2542 MHz, 13801 MHz, 69.85 W, 32, 0 %, 1730 MiB
2026/08/03 02:09:32.037, 2542 MHz, 13801 MHz, 69.55 W, 32, 0 %, 1730 MiB
2026/08/03 02:09:37.037, 2542 MHz, 13801 MHz, 70.42 W, 32, 1 %, 1730 MiB
2026/08/03 02:09:42.037, 2550 MHz, 13801 MHz, 69.54 W, 32, 0 %, 1730 MiB
2026/08/03 02:09:47.038, 2542 MHz, 13801 MHz, 69.37 W, 32, 0 %, 1730 MiB
2026/08/03 02:09:52.038, 2542 MHz, 13801 MHz, 70.79 W, 32, 0 %, 1730 MiB
2026/08/03 02:09:57.039, 2542 MHz, 13801 MHz, 69.77 W, 32, 0 %, 1730 MiB
2026/08/03 02:10:02.040, 2542 MHz, 13801 MHz, 69.08 W, 32, 0 %, 1730 MiB
2026/08/03 02:10:07.040, 2542 MHz, 13801 MHz, 71.02 W, 32, 1 %, 1730 MiB
2026/08/03 02:10:12.041, 2550 MHz, 13801 MHz, 70.34 W, 32, 0 %, 1730 MiB
2026/08/03 02:10:17.041, 2542 MHz, 13801 MHz, 70.43 W, 32, 0 %, 1730 MiB
2026/08/03 02:10:22.041, 2542 MHz, 13801 MHz, 70.97 W, 32, 0 %, 1730 MiB
2026/08/03 02:10:27.042, 2542 MHz, 13801 MHz, 70.01 W, 32, 0 %, 1730 MiB
2026/08/03 02:10:32.042, 2542 MHz, 13801 MHz, 71.40 W, 32, 0 %, 1730 MiB
2026/08/03 02:10:37.043, 2542 MHz, 13801 MHz, 71.10 W, 32, 0 %, 1730 MiB
2026/08/03 02:10:42.043, 2542 MHz, 13801 MHz, 70.81 W, 32, 0 %, 1730 MiB
2026/08/03 02:10:47.044, 2550 MHz, 13801 MHz, 70.42 W, 32, 0 %, 1730 MiB
2026/08/03 02:10:52.044, 2542 MHz, 13801 MHz, 72.12 W, 32, 1 %, 1730 MiB
2026/08/03 02:10:57.044, 2542 MHz, 13801 MHz, 70.38 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:02.045, 2557 MHz, 13801 MHz, 72.04 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:07.045, 2542 MHz, 13801 MHz, 71.15 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:12.046, 2542 MHz, 13801 MHz, 70.50 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:17.046, 2550 MHz, 13801 MHz, 72.26 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:22.046, 2542 MHz, 13801 MHz, 71.33 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:27.047, 2542 MHz, 13801 MHz, 69.10 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:32.047, 2542 MHz, 13801 MHz, 70.18 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:37.048, 2542 MHz, 13801 MHz, 71.45 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:42.048, 2542 MHz, 13801 MHz, 71.29 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:47.048, 2542 MHz, 13801 MHz, 72.75 W, 32, 1 %, 1730 MiB
2026/08/03 02:11:52.049, 2550 MHz, 13801 MHz, 70.87 W, 32, 0 %, 1730 MiB
2026/08/03 02:11:57.049, 2550 MHz, 13801 MHz, 69.99 W, 32, 0 %, 1730 MiB
2026/08/03 02:12:02.050, 2565 MHz, 13801 MHz, 75.57 W, 32, 1 %, 2277 MiB
2026/08/03 02:12:07.051, 2542 MHz, 13801 MHz, 71.85 W, 32, 0 %, 2663 MiB
2026/08/03 02:12:12.052, 2557 MHz, 13801 MHz, 71.02 W, 32, 0 %, 2663 MiB
2026/08/03 02:12:17.052, 2542 MHz, 13801 MHz, 71.14 W, 32, 0 %, 2663 MiB
2026/08/03 02:12:22.052, 2565 MHz, 13801 MHz, 72.79 W, 32, 1 %, 2277 MiB
2026/08/03 02:12:27.053, 2542 MHz, 13801 MHz, 73.21 W, 32, 0 %, 2641 MiB
2026/08/03 02:12:32.053, 2565 MHz, 13801 MHz, 72.01 W, 32, 0 %, 2277 MiB
2026/08/03 02:12:37.054, 2542 MHz, 13801 MHz, 72.18 W, 32, 0 %, 2663 MiB
2026/08/03 02:12:42.054, 2557 MHz, 13801 MHz, 71.40 W, 32, 0 %, 2663 MiB
2026/08/03 02:12:47.055, 2542 MHz, 13801 MHz, 72.76 W, 32, 2 %, 2663 MiB
2026/08/03 02:12:52.055, 2565 MHz, 13801 MHz, 73.99 W, 32, 0 %, 2279 MiB
2026/08/03 02:12:57.055, 2542 MHz, 13801 MHz, 71.79 W, 32, 0 %, 2641 MiB
2026/08/03 02:13:02.056, 2572 MHz, 13801 MHz, 75.47 W, 32, 0 %, 2279 MiB
2026/08/03 02:13:07.056, 2542 MHz, 13801 MHz, 71.35 W, 32, 0 %, 2697 MiB
2026/08/03 02:13:12.057, 2557 MHz, 13801 MHz, 75.81 W, 32, 0 %, 2283 MiB
2026/08/03 02:13:17.057, 2557 MHz, 13801 MHz, 72.91 W, 32, 0 %, 2663 MiB
2026/08/03 02:13:22.057, 2542 MHz, 13801 MHz, 71.63 W, 32, 0 %, 2663 MiB
2026/08/03 02:13:27.059, 2542 MHz, 13801 MHz, 73.10 W, 32, 2 %, 1730 MiB
2026/08/03 02:13:32.060, 2572 MHz, 13801 MHz, 76.97 W, 32, 0 %, 2281 MiB
2026/08/03 02:13:37.060, 2542 MHz, 13801 MHz, 73.96 W, 32, 0 %, 1730 MiB
2026/08/03 02:13:42.061, 2565 MHz, 13801 MHz, 77.61 W, 32, 15 %, 2641 MiB
2026/08/03 02:13:47.061, 2542 MHz, 13801 MHz, 72.37 W, 32, 0 %, 2663 MiB
2026/08/03 02:13:52.061, 2542 MHz, 13801 MHz, 73.14 W, 32, 1 %, 2663 MiB
2026/08/03 02:13:57.062, 2550 MHz, 13801 MHz, 72.53 W, 32, 0 %, 2261 MiB
2026/08/03 02:14:02.062, 2565 MHz, 13801 MHz, 75.36 W, 32, 0 %, 2663 MiB
2026/08/03 02:14:07.063, 2542 MHz, 13801 MHz, 69.50 W, 32, 0 %, 2663 MiB
2026/08/03 02:14:12.063, 2542 MHz, 13801 MHz, 71.52 W, 32, 1 %, 2663 MiB
2026/08/03 02:14:17.064, 2580 MHz, 13801 MHz, 75.05 W, 32, 0 %, 2269 MiB
2026/08/03 02:14:22.064, 2565 MHz, 13801 MHz, 73.87 W, 32, 1 %, 2641 MiB
2026/08/03 02:14:27.064, 2572 MHz, 13801 MHz, 73.77 W, 32, 0 %, 2269 MiB
2026/08/03 02:14:32.065, 2542 MHz, 13801 MHz, 71.72 W, 32, 0 %, 2663 MiB
2026/08/03 02:14:37.065, 2550 MHz, 13801 MHz, 69.76 W, 32, 0 %, 2663 MiB
2026/08/03 02:14:42.066, 2542 MHz, 13801 MHz, 73.64 W, 32, 0 %, 2663 MiB
2026/08/03 02:14:47.066, 2542 MHz, 13801 MHz, 72.32 W, 32, 0 %, 1730 MiB
2026/08/03 02:14:52.067, 2557 MHz, 13801 MHz, 75.68 W, 32, 0 %, 2283 MiB
2026/08/03 02:14:57.067, 2565 MHz, 13801 MHz, 73.80 W, 32, 12 %, 2663 MiB
2026/08/03 02:15:02.068, 2565 MHz, 13801 MHz, 73.78 W, 32, 0 %, 2279 MiB
2026/08/03 02:15:07.068, 2542 MHz, 13801 MHz, 70.30 W, 32, 0 %, 2641 MiB
2026/08/03 02:15:12.069, 2565 MHz, 13801 MHz, 74.43 W, 32, 0 %, 2277 MiB
2026/08/03 02:15:17.069, 2542 MHz, 13801 MHz, 71.46 W, 32, 0 %, 2663 MiB
2026/08/03 02:15:22.070, 2542 MHz, 13801 MHz, 71.03 W, 32, 0 %, 2663 MiB
2026/08/03 02:15:27.071, 2542 MHz, 13801 MHz, 74.83 W, 32, 0 %, 2663 MiB
2026/08/03 02:15:32.071, 2542 MHz, 13801 MHz, 72.55 W, 32, 2 %, 1730 MiB
2026/08/03 02:15:37.072, 2557 MHz, 13801 MHz, 74.17 W, 32, 0 %, 2279 MiB
2026/08/03 02:15:42.075, 2542 MHz, 13801 MHz, 72.53 W, 32, 0 %, 2281 MiB
2026/08/03 02:15:47.076, 2565 MHz, 13801 MHz, 71.53 W, 32, 1 %, 2663 MiB
2026/08/03 02:15:52.077, 2580 MHz, 13801 MHz, 73.07 W, 32, 0 %, 2277 MiB
2026/08/03 02:15:57.079, 2542 MHz, 13801 MHz, 73.73 W, 32, 0 %, 2281 MiB
2026/08/03 02:16:02.082, 2550 MHz, 13801 MHz, 70.91 W, 32, 0 %, 2663 MiB
2026/08/03 02:16:07.083, 2550 MHz, 13801 MHz, 71.30 W, 32, 0 %, 2663 MiB
2026/08/03 02:16:12.083, 2542 MHz, 13801 MHz, 73.57 W, 32, 0 %, 2663 MiB
2026/08/03 02:16:17.084, 2542 MHz, 13801 MHz, 70.97 W, 32, 1 %, 2663 MiB
2026/08/03 02:16:22.085, 2542 MHz, 13801 MHz, 71.05 W, 32, 0 %, 1730 MiB
2026/08/03 02:16:27.086, 2565 MHz, 13801 MHz, 74.23 W, 32, 1 %, 2277 MiB
2026/08/03 02:16:32.086, 2550 MHz, 13801 MHz, 72.39 W, 32, 0 %, 2281 MiB
2026/08/03 02:16:37.088, 2542 MHz, 13801 MHz, 71.90 W, 32, 0 %, 2663 MiB
2026/08/03 02:16:42.090, 2542 MHz, 13801 MHz, 71.94 W, 32, 1 %, 2663 MiB
2026/08/03 02:16:47.093, 2542 MHz, 13801 MHz, 70.65 W, 32, 0 %, 2663 MiB
2026/08/03 02:16:52.094, 2542 MHz, 13801 MHz, 71.60 W, 32, 0 %, 2663 MiB
2026/08/03 02:16:57.095, 2542 MHz, 13801 MHz, 73.16 W, 32, 0 %, 2663 MiB
2026/08/03 02:17:02.096, 2580 MHz, 13801 MHz, 72.95 W, 32, 0 %, 2669 MiB
2026/08/03 02:17:07.097, 2557 MHz, 13801 MHz, 74.26 W, 32, 0 %, 2277 MiB
2026/08/03 02:17:12.097, 2557 MHz, 13801 MHz, 73.50 W, 32, 0 %, 2281 MiB
